,Context Length,Feature Name,Language Pair,Coefficient
246,5,thresold PMI,kken,0.4462219122369620
247,5,explicit naming,kken,0.4221201794495500
248,5,average word length,kken,0.4139980270021720
249,5,10 most frequent word,kken,0.3334962217495370
250,5,passive verb ratio,kken,0.3189166970533710
251,5,type token ratio,kken,0.2931752170236950
252,5,50 most frequent word,kken,0.2614650591552400
253,5,perplexity,kken,0.2559595873316580
254,5,average function words,kken,0.061357687268862000
255,5,mdd,kken,-0.1195093474543190
256,5,positional token frequency,kken,-0.13180143713951800
257,5,single naming,kken,-0.13899402155922800
258,5,repetition ratio,kken,-0.1505825962239820
259,5,mean multiple naming,kken,-0.21022926379950200
260,5,pmi,kken,-0.21184456405740400
261,5,mean word rank,kken,-0.2668074017837630
262,5,pronoun ratio,kken,-0.5345715962875540
263,5,contextual function word,kken,-0.5801732899989870
264,5,lexical density,kken,-0.9205035116189330
265,5,syllable ratio,kken,-1.7646508458597300
266,5,average sentence length,zhen,1.505815232574000
267,5,5 most frequent word,zhen,0.7306227649789940
268,5,average word length,zhen,0.2537168140491160
269,5,average function words,zhen,0.229002016852562
270,5,contextual function word,zhen,0.10849711309772000
271,5,passive verb ratio,zhen,0.05661589665497570
272,5,repetition ratio,zhen,-0.08063406383315760
273,5,explicit naming,zhen,-0.09871659073304560
274,5,perplexity,zhen,-0.1075438013437560
275,5,50 most frequent word,zhen,-0.13694703758065400
276,5,pronoun ratio,zhen,-0.1771699425542770
277,5,mtld,zhen,-0.21899507826616600
278,5,mean word rank,zhen,-0.2214867236036780
279,5,positional token frequency,zhen,-0.251983674142686
280,5,10 most frequent word,zhen,-0.3042357843782970
281,5,mdd,zhen,-0.32111630829823600
282,5,pmi,zhen,-0.4933408073867530
283,5,length ratio,zhen,-0.7650117708444640
284,5,syllable ratio,zhen,-1.3488526368907600
285,5,average sentence length,enfi,0.9004942273958030
286,5,yulesi,enfi,0.7780624216485460
287,5,positional token frequency,enfi,0.4211723160252600
288,5,50 most frequent word,enfi,-0.25405955201776300
289,5,average function words,enfi,-0.3048724435508590
290,5,thresold PMI,enfi,-0.34183371580715000
291,5,mdd,enfi,-0.3555724518531230
292,5,repetition ratio,enfi,-0.4223323618431010
293,5,length ratio,enfi,-0.5185528070838900
294,5,mean word rank,enfi,-0.5760756673744790
295,5,mtld,enfi,-1.3712961358463700
296,5,type token ratio,enru,0.18257579966667900
297,5,average word length,enru,0.18124828156123000
298,5,average sentence length,enru,0.1269348401926600
299,5,thresold PMI,enru,0.09922658307591490
300,5,average function words,enru,0.0462004157860699
301,5,lexical density,enru,0.044742955912984600
302,5,passive verb ratio,enru,0.04091875754380590
303,5,repetition ratio,enru,0.003053317885844240
304,5,pos perplexity,enru,-0.002614637775026480
305,5,contextual function word,enru,-0.024365964808578900
306,5,pmi,enru,-0.055209057181782600
307,5,yulesi,enru,-0.09720028580211930
308,5,mean word rank,enru,-0.09814934356500810
309,5,length ratio,enru,-0.3550234884230930
310,5,5 most frequent word,lten,0.2786845741274190
311,5,yulesi,lten,0.27502580903470400
312,5,mtld,lten,-0.1785755493069400
313,5,10 most frequent word,lten,-0.18831719902147300
314,5,length ratio,lten,-0.2081119915554510
315,5,average word length,ende,0.2820535526588630
316,5,explicit naming,ende,0.18880032343704100
317,5,10 most frequent word,ende,0.16446336988773900
318,5,type token ratio,ende,0.13264937680190400
319,5,average sentence length,ende,0.0654726395195103
320,5,thresold PMI,ende,0.053426406559238500
321,5,5 most frequent word,ende,-0.08825599671800000
322,5,pmi,ende,-0.10597318357609600
323,5,repetition ratio,ende,-0.1418288188213210
324,5,yulesi,ende,-0.1697033002736750
325,5,mean word rank,ende,-0.17818224129744600
326,5,50 most frequent word,ende,-0.21821359814481100
327,5,length ratio,ende,-1.0497492357726000
328,10,yulesi,lten,1.2742843757826100
329,10,contextual function word,lten,0.9284383637716340
330,10,5 most frequent word,lten,0.7859106605779600
331,10,syllable ratio,lten,0.6665544525605900
332,10,type token ratio,lten,0.6268732485193270
333,10,average word length,lten,0.4851327144217030
334,10,explicit naming,lten,0.30980454434527000
335,10,50 most frequent word,lten,0.2709862857868710
336,10,mean multiple naming,lten,0.22767254934796200
337,10,positional token frequency,lten,0.180747131407288
338,10,perplexity,lten,0.10402217431959200
339,10,pmi,lten,0.0988034704340544
340,10,thresold PMI,lten,0.09764708728716010
341,10,single naming,lten,-0.013480408631018000
342,10,repetition ratio,lten,-0.016667543184072700
343,10,passive verb ratio,lten,-0.04930268403279460
344,10,mdd,lten,-0.13216196206863700
345,10,pos perplexity,lten,-0.246743476778034
346,10,mtld,lten,-0.32193000269523100
347,10,average sentence length,lten,-0.3994851558143830
348,10,10 most frequent word,lten,-0.5544188715373610
349,10,lexical density,lten,-0.5649029034741220
350,10,pronoun ratio,lten,-0.6354467169146840
351,10,average function words,lten,-0.6378126065468200
352,10,mean word rank,lten,-0.6567742451530330
353,10,length ratio,lten,-0.7820414395991320
354,10,syllable ratio,ruen,0.7384964980411990
355,10,yulesi,ruen,0.2935138736687890
356,10,5 most frequent word,ruen,0.15239946752514000
357,10,positional token frequency,ruen,0.09789702198139500
358,10,pmi,ruen,-0.11028776409841000
359,10,average function words,ruen,-0.1190345278570670
360,10,single naming,ruen,-0.1366773085220200
361,10,mean word rank,ruen,-0.1584099409051290
362,10,type token ratio,ruen,-0.1643622907022580
363,10,lexical density,ruen,-0.21091086091465600
364,10,passive verb ratio,ruen,-0.21742990247394500
365,10,mtld,ruen,-0.22385674204402300
366,10,average word length,ruen,-0.30806372648825700
367,10,pronoun ratio,ruen,-0.4372579373334780
368,10,length ratio,ruen,-0.5260912021821200
369,10,average sentence length,ruen,-0.8877104801342360
370,10,mean word rank,ende,-0.07593160080201740
371,10,length ratio,ende,-0.5359060547326320
372,10,length ratio,fien,0.520053591499971
373,10,contextual function word,fien,0.39675301018326600
374,10,5 most frequent word,fien,0.27221821002768200
375,10,syllable ratio,fien,-0.3557386925554590
376,10,pronoun ratio,fien,-0.5425118517477710
377,10,repetition ratio,fien,-0.5561060552919630
378,10,perplexity,kken,9.961878367394600
379,10,average sentence length,kken,4.03319565354092
380,10,thresold PMI,kken,1.2295244867425500
381,10,10 most frequent word,kken,0.9428007005475250
382,10,5 most frequent word,kken,0.6861216705529190
383,10,passive verb ratio,kken,0.6560917176738320
384,10,average word length,kken,0.6264190305724440
385,10,yulesi,kken,-0.12520645483005300
386,10,contextual function word,kken,-0.3624227882227830
387,10,mean multiple naming,kken,-0.6105459244223590
388,10,pmi,kken,-0.9795928360997330
389,10,lexical density,kken,-0.9952473043719170
390,10,syllable ratio,kken,-4.815464173295900
391,10,average function words,guen,0.32198238951751700
392,10,5 most frequent word,guen,0.2578248724464240
393,10,lexical density,guen,-0.08918190761574720
394,10,average word length,guen,-0.2616990138253180
395,10,repetition ratio,guen,-0.3147789877400300
396,10,contextual function word,guen,-0.31765182560274300
397,10,yulesi,guen,-0.32842103101296200
398,10,pronoun ratio,guen,-0.3666218736984170
399,10,length ratio,deen,0.4999490505159580
400,10,average word length,deen,0.15588407815822000
401,10,50 most frequent word,deen,0.11967669742848100
402,10,5 most frequent word,deen,0.10499055480168400
403,10,contextual function word,deen,0.09625621309642900
404,10,thresold PMI,deen,0.09025425848447410
405,10,passive verb ratio,deen,-0.0757298584299255
406,10,single naming,deen,-0.08975833377660320
407,10,pos perplexity,deen,-0.15666540244793900
